,Teams,Threat av adj,Matches,Threat GW47 adj 7 - average,Threat GW46 adj 7 - average,Threat GW45 adj 7 - average,Threat GW44 adj 7 - average,Threat GW43 adj 7 - average,Threat GW42 adj 7 - average,Threat GW41 adj 7 - average,Threat GW40 adj 7 - average,Threat GW39 adj* 7 - average,Threat GW39 adj 7 - average,Threat GW38 adj 7 - average,Threat GW37 adj 7 - average,Threat GW36 adj 7 - average,Threat GW35 adj 7 - average,Threat GW34 adj 7 - average,Threat GW33 adj 7 - average,Threat GW32 adj 7 - average,Threat GW31 adj 7 - average,Threat GW30 adj 7 - average,Threat GW29 adj 7 - average,Threat GW28 adj 7 - average,Threat GW27 adj 7 - average,Threat GW26 adj 7 - average,Threat GW25 adj 7 - average,Threat GW24 adj* 7 - average,Threat GW24 adj 7 - average,Threat GW23 adj 7 - average,Threat GW22 adj 7 - average,Threat GW21 adj 7 - average,Threat GW20 adj 7 - average,Threat GW19 adj 7 - average,Threat GW18 adj 7 - average,Threat GW17 adj 7 - average,Threat GW16 adj 7 - average,Threat GW15 adj 7 - average,Threat GW14 adj 7 - average,Threat GW13 adj 7 - average,Threat GW12 adj 7 - average,Threat GW11 adj 7 - average,Threat GW10 adj 7 - average,Threat GW9 adj 7 - average,Threat GW8 adj 7 - average,Threat GW7 adj 7 - average,Threat GW47 adj color,Threat GW47 adj,Threat GW46 adj color,Threat GW46 adj,Threat GW45 adj color,Threat GW45 adj,Threat GW44 adj color,Threat GW44 adj,Threat GW43 adj color,Threat GW43 adj,Threat GW42 adj color,Threat GW42 adj,Threat GW41 adj color,Threat GW41 adj,Threat GW40 adj color,Threat GW40 adj,Threat GW39 adj* color,Threat GW39 adj*,Threat GW39 adj color,Threat GW39 adj,Threat GW38 adj color,Threat GW38 adj,Threat GW37 adj color,Threat GW37 adj,Threat GW36 adj color,Threat GW36 adj,Threat GW35 adj color,Threat GW35 adj,Threat GW34 adj color,Threat GW34 adj,Threat GW33 adj color,Threat GW33 adj,Threat GW32 adj color,Threat GW32 adj,Threat GW31 adj color,Threat GW31 adj,Threat GW30 adj color,Threat GW30 adj,Threat GW29 adj color,Threat GW29 adj,Threat GW28 adj color,Threat GW28 adj,Threat GW27 adj color,Threat GW27 adj,Threat GW26 adj color,Threat GW26 adj,Threat GW25 adj color,Threat GW25 adj,Threat GW24 adj* color,Threat GW24 adj*,Threat GW24 adj color,Threat GW24 adj,Threat GW23 adj color,Threat GW23 adj,Threat GW22 adj color,Threat GW22 adj,Threat GW21 adj color,Threat GW21 adj,Threat GW20 adj color,Threat GW20 adj,Threat GW19 adj color,Threat GW19 adj,Threat GW18 adj color,Threat GW18 adj,Threat GW17 adj color,Threat GW17 adj,Threat GW16 adj color,Threat GW16 adj,Threat GW15 adj color,Threat GW15 adj,Threat GW14 adj color,Threat GW14 adj,Threat GW13 adj color,Threat GW13 adj,Threat GW12 adj color,Threat GW12 adj,Threat GW11 adj color,Threat GW11 adj,Threat GW10 adj color,Threat GW10 adj,Threat GW9 adj color,Threat GW9 adj,Threat GW8 adj color,Threat GW8 adj,Threat GW7 adj color,Threat GW7 adj,Threat GW6 adj color,Threat GW6 adj,Threat GW5 adj color,Threat GW5 adj,Threat GW4 adj color,Threat GW4 adj,Threat GW3 adj color,Threat GW3 adj,Threat GW2 adj color,Threat GW2 adj,Threat GW1 adj color,Threat GW1 adj
0,Man City,244.2289473684211,38,262.3,236.32857142857142,230.95714285714286,246.77142857142852,222.02857142857138,209.22857142857143,208.98571428571427,217.42857142857144,222.39999999999995,237.0,242.87142857142857,242.87142857142857,242.87142857142857,242.87142857142857,242.87142857142857,242.87142857142857,242.87142857142857,242.87142857142857,242.87142857142857,242.87142857142857,254.97142857142853,254.97142857142853,254.67142857142858,223.67142857142852,235.4,235.4,228.58571428571426,219.97142857142862,212.47142857142862,222.65714285714282,211.05714285714288,225.42857142857144,225.4,245.95714285714283,247.05714285714288,248.78571428571428,243.08571428571426,268.5857142857143,284.45714285714286,273.7428571428572,265.5857142857143,268.2285714285714,262.37142857142857,green,374.1,green,288.1,pink,125.6,green,312.1,green,310.4000000000001,green,283.5,light green,142.3,light green,192.3,green,250.5,green,236.3,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,138.89999999999998,white,,green,220.8,green,281.7999999999999,green,201.4,white,,green,227.1,green,352.7,green,277.4,green,223.6,green,218.7,red,64.8,green,283.5,light green,179.39999999999995,green,292.4,green,224.9,green,294.9,pink,137.5,light green,165.4,green,283.2999999999999,green,323.3,green,300.1,green,237.0,green,255.0,green,316.0,green,276.5,green,208.3,green,266.2,green,318.6,light green,196.0
1,Chelsea,192.53421052631577,38,197.5,191.74285714285716,209.95714285714286,193.05714285714288,203.55714285714288,199.2142857142857,195.28571428571428,174.6,198.67142857142852,198.67142857142852,199.78571428571428,199.78571428571428,199.78571428571428,199.78571428571428,199.78571428571428,199.78571428571428,199.78571428571428,199.78571428571428,199.78571428571428,199.78571428571428,203.38571428571427,184.2142857142857,182.95714285714283,184.64285714285717,195.3,195.3,186.1,179.11428571428573,188.12857142857143,193.47142857142856,192.05714285714288,199.4857142857143,204.3714285714286,203.17142857142858,203.14285714285717,184.64285714285717,189.5142857142857,195.14285714285717,186.84285714285718,179.94285714285718,191.9857142857143,187.90000000000003,195.92857142857144,pink,130.39999999999998,red,119.0,green,310.9000000000001,green,217.3,light green,185.3,light green,183.40000000000003,green,236.2,red,90.1,white,,green,246.5,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,192.6,green,290.7999999999999,light green,154.9,light green,155.89999999999995,red,91.4,white,,green,258.6,green,254.3,green,217.8,light green,156.6,light green,146.1,light green,167.70000000000005,light green,166.0,light green,194.2,green,205.4,green,280.90000000000003,light green,194.0,pink,136.20000000000002,green,219.7,green,200.2,light green,185.8,green,205.2,light green,151.39999999999995,green,228.1,light green,175.60000000000005,light green,161.60000000000005,light green,151.90000000000003,green,270.1,light green,176.6,green,207.6
2,Liverpool,189.3736842105264,38,190.51428571428573,194.47142857142862,196.64285714285717,188.25714285714284,168.6,180.05714285714288,190.9857142857143,195.17142857142858,186.74285714285716,186.74285714285716,190.32857142857142,190.32857142857142,190.32857142857142,190.32857142857142,190.32857142857142,190.32857142857142,190.32857142857142,190.32857142857142,190.32857142857142,190.32857142857142,186.65714285714282,196.92857142857144,187.18571428571425,179.14285714285714,187.9857142857143,181.47142857142856,197.3142857142857,190.25714285714284,180.51428571428573,168.11428571428573,163.91428571428577,175.10000000000005,175.10000000000005,194.92857142857144,179.18571428571425,187.98571428571427,188.28571428571428,179.71428571428572,207.7142857142857,189.0142857142857,193.04285714285717,194.9142857142857,190.84285714285718,light green,193.2,red,115.0,green,280.0,green,253.1,green,236.5,pink,127.3,pink,128.5,green,220.9,white,,pink,130.20000000000002,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,221.3,red,115.5,green,316.7,green,203.8,light green,157.8,light green,161.9,light green,155.3,light green,195.6,light green,187.4,green,248.5,light green,147.5,green,219.7,white,,red,116.3,green,266.2,light green,146.20000000000005,red,119.2,light green,161.7,red,118.1,green,298.0,green,255.1,light green,156.0,green,207.8,pink,121.3,red,101.7,green,314.1,light green,167.09999999999997,green,283.3,light green,169.1,light green,179.3
3,Leicester,167.85789473684213,38,183.64285714285717,179.62857142857143,166.58571428571423,168.91428571428577,177.50000000000003,165.45714285714286,158.98571428571432,158.79999999999995,168.77142857142857,168.77142857142857,172.6714285714286,172.6714285714286,172.6714285714286,172.6714285714286,172.6714285714286,172.6714285714286,172.6714285714286,172.6714285714286,172.6714285714286,172.6714285714286,155.95714285714286,156.85714285714286,163.67142857142858,152.48571428571432,137.55714285714285,137.55714285714285,136.82857142857142,147.2,154.18571428571428,154.2428571428571,158.47142857142856,185.45714285714283,199.6,206.95714285714286,199.54285714285714,187.8,187.95714285714283,184.41428571428574,162.82857142857142,164.21428571428572,147.08571428571432,132.47142857142856,149.87142857142857,light green,170.2,green,269.90000000000003,light green,188.1,pink,130.3,light green,176.8,light green,167.8,light green,182.4,light green,142.10000000000005,white,,light green,178.60000000000005,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,204.4,light green,190.4,red,92.5,pink,122.5,light green,181.1,white,,green,211.9,green,205.9,red,87.39999999999998,light green,196.7,light green,140.2,red,44.2,red,76.6,green,206.8,green,278.49999999999994,pink,136.3,light green,197.1,light green,169.8,green,233.1,light green,175.6,green,258.29999999999995,green,226.6,red,54.1,light green,198.2,light green,145.0,red,82.0,light green,185.3,pink,138.4,pink,124.29999999999998,light green,175.89999999999995
4,Man Utd,164.38684210526316,38,156.55714285714288,176.3714285714286,174.52857142857147,162.85714285714286,173.74285714285716,176.15714285714287,159.04285714285714,162.32857142857142,170.70000000000005,170.70000000000005,161.04285714285714,161.04285714285714,161.04285714285714,161.04285714285714,161.04285714285714,161.04285714285714,161.04285714285714,161.04285714285714,161.04285714285714,161.04285714285714,170.29999999999995,167.08571428571423,156.01428571428568,176.6,181.02857142857138,181.02857142857138,176.47142857142862,181.02857142857147,172.5714285714286,177.52857142857138,178.9285714285714,171.47142857142856,169.82857142857142,161.57142857142858,157.84285714285713,167.07142857142858,165.08571428571423,163.1285714285714,147.54285714285714,153.25714285714284,159.4857142857143,162.77142857142852,157.17142857142858,red,81.1,light green,167.5,light green,188.3,red,83.9,light green,190.6,green,228.40000000000003,light green,156.10000000000005,green,219.8,white,,light green,154.60000000000005,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,106.6,light green,160.1,green,207.50000000000003,red,108.6,light green,179.1,white,,green,278.4,red,87.0,light green,171.39999999999995,pink,137.6,pink,130.0,green,252.7,green,210.1,green,246.5,red,118.9,red,112.2,light green,172.3,pink,139.79999999999998,green,200.5,light green,198.6,light green,188.7,red,92.8,light green,176.79999999999995,light green,158.4,pink,126.1,red,91.40000000000002,green,238.6,green,232.3,red,115.8,pink,137.59999999999997
5,Aston Villa,141.9105263157895,38,128.5142857142857,138.07142857142858,135.2142857142857,137.5142857142857,125.05714285714285,119.65714285714287,133.05714285714285,142.98571428571432,144.05714285714285,144.94285714285715,129.81428571428572,129.81428571428572,129.81428571428572,129.81428571428572,129.81428571428572,129.81428571428572,129.81428571428572,129.81428571428572,129.81428571428572,129.81428571428572,140.35714285714286,140.35714285714286,151.57142857142858,144.4857142857143,146.05714285714285,146.05714285714285,133.72857142857143,150.15714285714287,155.81428571428572,153.47142857142856,164.47142857142856,156.67142857142858,135.20000000000002,130.91428571428574,135.9857142857143,145.84285714285716,156.95714285714286,145.84285714285713,148.65714285714287,153.88571428571433,155.77142857142852,158.62857142857143,143.99999999999997,pink,125.5,red,101.8,light green,173.5,pink,133.2,red,109.0,red,116.1,light green,140.5,light green,192.4,red,81.8,light green,189.6,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,46.0,white,,red,71.2,green,209.9,green,210.0,white,,light green,199.9,red,88.0,red,83.69999999999997,red,119.8,light green,149.7,light green,160.3,green,221.0,red,113.6,green,203.00000000000003,pink,123.29999999999998,red,103.4,green,226.7,red,105.7,red,70.69999999999997,red,83.60000000000002,green,238.5,light green,192.3,light green,181.20000000000005,light green,148.89999999999995,pink,125.4,red,107.3,red,96.79999999999998,green,258.5,red,89.9
6,Everton,139.8078947368421,38,109.17142857142859,102.92857142857143,102.55714285714285,90.28571428571428,94.8,110.82857142857141,120.64285714285714,127.62857142857142,132.5142857142857,132.5142857142857,142.74285714285716,142.74285714285716,142.74285714285716,142.74285714285716,142.74285714285716,142.74285714285716,142.74285714285716,142.74285714285716,142.74285714285716,142.74285714285716,159.29999999999995,155.51428571428568,158.41428571428568,173.22857142857143,166.08571428571432,166.08571428571432,146.85714285714286,144.1,136.54285714285714,145.32857142857142,141.24285714285716,138.45714285714286,143.78571428571428,151.41428571428577,158.14285714285714,160.72857142857148,160.05714285714285,158.28571428571425,145.07142857142858,155.1,160.92857142857142,152.75714285714284,150.62857142857143,green,202.2,red,79.4,pink,134.1,red,92.9,red,92.8,red,80.3,red,82.5,light green,158.49999999999997,white,,red,76.8,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,48.2,pink,124.5,green,205.0,light green,149.00000000000003,pink,131.4,white,,light green,192.7,light green,148.39999999999995,light green,164.09999999999997,red,98.0,green,225.3,green,252.7,red,81.39999999999998,red,58.1,pink,129.1,red,111.2,light green,159.50000000000003,light green,196.7,green,233.2,red,118.7,red,111.5,light green,176.2,pink,129.3,light green,154.8,light green,184.3,light green,140.7,light green,188.9,light green,152.3,red,119.0,red,114.4
7,Brighton,138.59473684210525,38,101.41428571428571,94.84285714285713,88.45714285714287,94.34285714285713,121.84285714285716,116.87142857142858,119.07142857142857,135.82857142857142,151.15714285714284,151.15714285714284,154.3714285714286,154.3714285714286,154.3714285714286,154.3714285714286,154.3714285714286,154.3714285714286,154.3714285714286,154.3714285714286,154.3714285714286,154.3714285714286,150.82857142857142,138.44285714285715,152.07142857142858,151.1,143.31428571428572,143.31428571428572,140.44285714285712,140.31428571428572,158.05714285714285,158.6285714285714,147.51428571428568,145.51428571428568,157.67142857142858,146.22857142857143,161.25714285714284,156.97142857142856,149.97142857142856,163.77142857142857,171.97142857142862,150.77142857142857,161.72857142857148,158.35714285714286,143.34285714285716,pink,125.29999999999998,light green,146.3,red,70.2,red,54.3,pink,137.20000000000002,red,103.1,red,73.5,red,79.3,white,,red,101.6,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,111.4,green,246.80000000000004,red,102.4,red,118.5,light green,190.8,white,,light green,186.6,pink,124.1,red,86.59999999999998,light green,160.1,light green,197.8,red,111.7,pink,136.3,light green,166.5,pink,123.2,green,210.8,light green,164.09999999999997,red,120.0,red,97.7,green,221.4,red,86.39999999999998,green,228.4,light green,180.80000000000004,red,115.09999999999998,green,216.6,light green,155.10000000000005,red,73.0,light green,163.10000000000005,green,204.8,red,75.7
8,Wolves,138.1263157894737,38,124.87142857142857,129.72857142857146,132.57142857142858,126.62857142857143,126.19999999999996,139.58571428571426,140.14285714285714,144.52857142857144,150.74285714285716,150.74285714285716,142.22857142857143,142.22857142857143,142.22857142857143,142.22857142857143,142.22857142857143,142.22857142857143,142.22857142857143,142.22857142857143,142.22857142857143,142.22857142857143,138.6,142.81428571428572,131.7428571428571,149.4,151.74285714285716,151.74285714285716,157.92857142857142,164.97142857142856,178.8285714285714,172.87142857142857,186.9,169.08571428571423,174.37142857142857,175.1142857142857,162.45714285714286,145.04285714285714,139.47142857142856,133.94285714285715,126.70000000000002,105.17142857142856,100.7,105.88571428571429,111.04285714285713,red,67.2,pink,123.3,light green,157.3,light green,156.3,red,76.8,light green,164.7,pink,128.5,red,101.2,white,,light green,143.2,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,115.7,light green,153.3,light green,170.5,light green,168.6,light green,159.2,white,,light green,144.7,red,83.6,red,90.3,light green,182.8,red,93.0,green,292.2,light green,175.59999999999997,light green,188.0,pink,132.9,light green,187.3,light green,141.1,light green,191.2,light green,167.49999999999997,green,212.6,light green,193.2,red,44.3,red,65.4,red,102.1,light green,152.5,red,116.8,red,61.90000000000001,light green,161.9,red,80.59999999999998,red,101.5
9,West Ham,136.8394736842105,38,161.11428571428567,167.25714285714284,160.95714285714286,164.75714285714284,152.92857142857142,133.21428571428572,111.61428571428574,115.12857142857143,107.37142857142858,107.37142857142858,102.65714285714287,102.65714285714287,102.65714285714287,102.65714285714287,102.65714285714287,102.65714285714287,102.65714285714287,102.65714285714287,102.65714285714287,102.65714285714287,108.15714285714287,99.24285714285713,108.15714285714284,126.52857142857144,129.8857142857143,138.5,145.67142857142858,136.62857142857143,137.5142857142857,136.42857142857142,125.24285714285713,134.70000000000002,134.70000000000002,137.68571428571428,136.44285714285712,139.5142857142857,151.94285714285712,143.21428571428567,153.5285714285714,151.78571428571428,154.48571428571432,154.24285714285716,143.78571428571433,red,107.5,pink,138.0,red,104.5,green,240.5,green,230.7,green,202.4,red,104.2,light green,150.5,white,,red,93.9,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,131.1,light green,157.70000000000005,red,92.7,red,51.2,pink,128.8,red,96.2,red,60.89999999999999,light green,169.6,red,95.3,light green,155.10000000000005,light green,179.8,light green,152.3,white,,light green,156.5,red,111.1,red,106.3,red,101.5,light green,147.5,red,101.5,green,218.5,light green,177.4,red,102.4,pink,127.8,light green,188.5,red,86.4,light green,173.70000000000005,green,206.3,light green,196.3,red,100.7,red,54.6
